id,title,genre,genre_number,Production Country,Release Year,Director,Plot
30665,여친남친,멜로,3,대만,2012,양아체,"고등학교,친구,사랑과우정,여름"
27931,에브리씽 유브 갓 하우 두 유 노우?,코메디,13,미국,2010,제임스 L. 브룩스,"소프트볼,국가대표,탈락,투수,중역,회계,부정,누명"
26150,러블리 본즈,드라마,2,"미국,영국,뉴질랜드",2009,피터 잭슨,"강간,경찰,별거,살인,소설원작,시체,연쇄살인범,이웃,천국"
27933,S.W.A.T.: 파이어 파이트,액션,10,미국,2011,베니 붐,"동료,킬러,LA,경찰특공대,심리학자,인질,복수"
4915,접속,멜로,3,대한민국,1997,장윤현,"PC통신,데뷰작,라디오PD,벨벳언더그라운드,심야드라이브,채팅,컴퓨터,홈쇼핑가이드,흥행작,프로듀서,PD,음악PD"
36833,아다댄스,뮤지컬,5,대한민국,2024,이소현,블랙코미디
30060,대학살의 신,드라마,2,"프랑스,독일,폴란드,스페인",2011,로만 폴란스키,"부부,초등학교,학부모,싸움"
27936,스콧 필그림,액션,10,"미국,영국,캐나다",2010,에드가 라이트,"토론토,록밴드,이상형,데이트,결투,전남자친구"
27937,복수자,액션,10,미국,2010,조지 틸만 주니어,"은행털이,감옥,복수,은퇴,형사,킬러"
10268,은빛공포,공포,1,,,토비 후퍼,"핵, 인디영화"
27940,신들의 전쟁,액션,10,미국,2011,타셈 싱,"신,영웅,올림푸스,전쟁,석공,예지자,운명"
30063,이프 유 다이,드라마,2,프랑스,2011,이네 살림,"출소,약혼녀,장례식,이슬람"
26494,믿음의 승부,드라마,2,미국,2006,알렉스 켄드릭,"미식축구선수,기독교"
30247,어둠 속의 빛,드라마,2,"독일,폴란드",2011,아그네츠카 홀란드,"하수구,유대인,신고,연민"
26238,우리가 꿈꾸는 기적: 인빅터스,드라마,2,미국,2009,클린트 이스트우드,"실화바탕,럭비,남아프리카공화국,실존인물"
26789,존 웨인의 백야의 탈출,드라마,2,미국,1953,월리암 웰만,
29870,디즈니 캠프,코메디,13,미국,1994,스티븐 브릴,
29871,블랭크맨,액션,10,미국,1994,마이크 바인더,
29957,명검천마,무협,4,,,초진강,
30033,인생극장,드라마,2,일본,1968,우치다 토무,"야쿠자,감옥,삼각관계,출소"
30711,천하영웅,드라마,2,중국,2010,첸 카이거,"누명,후손,원수,복수,양아버지,혼란"
27945,독신남,코메디,13,중국,2010,지 하우,"시골마을,노총각,할아버지,회상,청춘"
27950,스나이퍼: 리로디드,액션,10,남아프리카공화국,2011,클라우디오 파,"아프리카,유엔군,저격수,암살자"
26203,블라인드 사이드,드라마,2,미국,2009,존 리 행콕,"거구,기부,대학,미시시피,미식축구,빨래방,스카우트,인종,입양,장학생,실화바탕"
30486,섀도우 댄서,드라마,2,영국,2012,제임스 마쉬,"IRA,스파이,영국"
27952,무솔리니와 차 한 잔,코메디,13,"이탈리아,영국",1999,프란코 제피렐리,"제2차세계대전,플로렌스,피카소,무솔리니,이탈리아,파시즘"
30244,스틸,드라마,2,미국,2009,앤더스 앤더슨,"실종,아들,형사,비밀"
29877,핑크 팬더 3-돌아온 핑크 팬더,코메디,13,영국,1975,블레이크 에드워드,"다이아몬드,도둑,팬텀,누명,은둔생활"
26008,솔로이스트,드라마,2,미국,2009,조 라이트,"바이올린, 정신분열, 기자, 천재"
26780,안나 카레니나,드라마,2,영국,1948,줄리앙 뒤비비에,"지주,기차역,귀족,장교"
26296,미 투,드라마,2,스페인,2009,"안토니오 나아로,알바로 파스톨","다운증후군,첫사랑,직장동료"
27979,슈퍼 에이트,SF,15,미국,2011,J.J. 에이브람스,"목격,열차사고,정체불명,1979년,8mm카메라,십대모험"
26493,피스트 오브 러브,드라마,2,미국,2007,로버트 벤톤,"교수,커피숍,레즈비언,이웃,불륜"
16264,그 후,드라마,2,대한민국,2017,홍상수,"흑백영화,소문,가족"
9950,유유백서,액션,10,,,이이지마 아사카츠,"애니메이션, 탐정, 마계, TV시리즈"
29886,스케이트보드 키드2,판타지,14,미국,1995,앤드루 스티븐슨,"전투기,비행기추락사고,성장,압류,위기,스케이트보드"
29889,사이보그 캅,액션,10,미국,1994,샘 퍼스텐버그,"마약단속반(DEA),인질극,총격전,살해,헤로인,사이보그,음모"
29893,외계인 뭉치,코메디,13,미국,1994,짐 와이노르스키,"소동,외계인,초능력,성희롱,사별"
36139,골드넘버,코메디,13,,,박천,
27987,신 소림사 - 쿵푸마스터,액션,10,중국,2010,도우 시아오,"소림사,쿵푸,스님,무술고수,왕"
26239,리틀 디제이,드라마,2,일본,2010,나가타 코토,"라디오PD,라디오DJ,엽서,추억"
27980,러브 앤 프렌즈,코메디,13,미국,2011,루크 그린필드,"연애,변호사,뉴욕,디자이너,결혼식,생일,약혼자,동기,여름휴가"
27864,엑스맨: 퍼스트 클래스,액션,10,미국,2011,매튜 본,"CIA,냉전,돌연변이,마블코믹스,만화원작,미국만화원작,속편,시리즈,우정,유전자,텔레파시,핵전쟁"
27990,13인의 자객,액션,10,"일본,영국",2010,미이케 다카시,
27991,게임 오브 데스,액션,10,미국,2010,지오지오 세라피니,"전직CIA,은퇴,국가기밀,무기,불법판매,비리"
27926,그린랜턴: 반지의 선택,액션,10,미국,2011,마틴 캠벨,"반지,우주,은하계,후계자,만화원작,미국만화원작,영웅"
26566,러브 인 샌프란시스코,드라마,2,"미국,영국",2005,폴 마예다 버지스,
26295,데드라인,드라마,2,미국,2009,숀 맥콘빌,"마감,시나리오작가,욕조,임신,캠코더,비디오테이프"
51991,워 위드 그랜파,코메디,13,미국,2020,팀 힐,
29900,폭풍의 라이더,코메디,13,미국,1993,"비버리 세바스티안,퍼드 세바스티안 ","오토바이,캘리포니아,도움,협박,습격"
28128,철모,액션,10,미국,1951,사무엘 풀러,"6.25,6.25,625,한국전쟁,미군포로"
26325,아버지를 마지막으로 본 것은 언제입니까?,드라마,2,영국,2007,아난드 턱커,"부자관계,소설원작,시인,의사,전기"
25974,제노바,드라마,2,영국,2008,마이클 윈터바텀,"딸, 엄마, 교통사고, 제노바"
27932,사랑과 죽음,드라마,2,미국,1975,우디 알렌,"유부녀,겁쟁이,나폴레옹,러시아,군입대,오페라,대포"
28001,다크 리벤지,액션,10,미국,2011,케오니 왝스먼,"시애틀,중국,비밀경찰,스트리퍼,흑마술"
27934,추운 곳에서 온 스파이,드라마,2,영국,1965,마틴 리트,"소설원작,영국,정보국,스파이,동독,퇴직,도서관사서,알코올중독"
29861,플라이트 아이비스,드라마,2,미국,1996,릭 목슬리,"마약밀수,카리브해,계략,탈옥,복수,은신처"
28009,체인지 어드레스,코메디,13,프랑스,2006,엠마누엘 무레,"내성적,음악가,여대생,룸메이트,충고"
28010,넉 아웃,액션,10,태국,2010,,"액션,할리우드,스턴트맨,오디션,격투경기"
61904,트랩,범죄,7,"미국,캐나다",2024,M. 나이트 샤말란,
29862,명백한 죄악,드라마,2,미국,2008,마크 웨버,"필리델피아,빈민,의료보험,사랑과우정"
29867,쥐트코트의 주말,드라마,2,프랑스,1964,앙리 베르누이,"프랑스,해안,독일,패잔병"
27943,장 쟝티,드라마,2,멕시코,2010,"이스라엘 카르데나스,로라 아멜리아 구즈만 ","중년남자,일자리,교수,외국인노동자,세계화"
